date,cluster,flips,flags,span,dir,breakout,score,lat,bucket,guard,base_taken,price,+3m,+6m,+9m,+15m,+30m,+60m,MFE,MAE
20260527,RBRB,3,4,54.0,B,14:54,6,6.0,<=6m,True,False,15575.0,0.28892455858747995,2.3434991974317816,4.109149277688603,1.187800963081862,4.590690208667737,,4.719101123595506,-1.4446227929373996
20260602,RBRBR,4,5,54.0,R,14:00,4,18.0,<=30m,False,False,29400.0,-0.3401360544217687,0.5782312925170068,0.10204081632653061,0.22108843537414968,2.0068027210884356,2.4489795918367347,5.051020408163265,-0.4591836734693878
20260611,BRBR,3,4,45.0,R,09:54,5,3.0,<=3m,True,False,22470.0,-0.6898086337338674,2.425456163773921,3.4935469514908766,5.919003115264798,3.6270582999554963,2.403204272363151,7.676902536715621,-0.7565643079661771
20260611,BRBR,3,4,45.0,R,09:57,6,6.0,<=6m,True,False,22315.0,3.1369034281873183,4.212413174994398,5.646426170737173,6.497871386959445,4.77257450145642,2.9576518037194712,8.424826349988797,-0.06721935917544253
20260612,RBRBR,4,5,78.0,R,13:24,5,12.0,<=12m,True,False,27040.0,-0.16642011834319528,0.14792899408284024,-0.14792899408284024,0.25887573964497046,0.20340236686390534,-0.8321005917159764,0.591715976331361,-1.2943786982248522
20260612,RBRBRBR,6,7,84.0,R,13:27,5,9.0,<=9m,True,False,26995.0,0.3148731246527135,0.018521948508983144,0.27782922763474716,0.4630487127245786,0.3704389701796629,-1.0742730135210223,0.7593998888683089,-1.1298388590479718
20260617,BRBR,3,4,24.0,R,14:45,5,6.0,<=6m,True,False,32390.0,-0.6329113924050633,-0.86446434084594,-0.7409694350108058,0.2624266748996604,1.0497066995986415,,1.1886384686631677,-1.3584439641864774
20260618,RBRBR,4,5,81.0,R,12:36,6,6.0,<=6m,True,False,36225.0,0.33126293995859213,0.7315389924085577,0.5383022774327122,0.9385783298826778,1.6425120772946862,2.8709454796411316,3.340234644582471,-0.041407867494824016
20260619,BRBR,3,4,60.0,R,14:51,4,6.0,<=6m,True,False,39150.0,-0.08939974457215837,1.3665389527458494,1.7879948914431671,2.6947637292464877,0.15325670498084293,,3.1289910600255424,-1.40485312899106
20260623,RBRB,3,4,39.0,B,10:36,6,6.0,<=6m,True,True,7425.0,0.20202020202020202,1.0774410774410774,2.087542087542088,3.3670033670033668,3.8383838383838382,5.387205387205387,5.521885521885522,-0.9427609427609427
20260716,BRBRB,4,5,60.0,B,13:21,5,0.0,<=3m,True,False,11410.0,-0.175284837861525,0.43821209465381245,0.26292725679228746,0.26292725679228746,-0.04382120946538125,-3.549517966695881,0.7011393514461,-4.338299737072743
20260716,BRBRB,4,5,60.0,B,13:27,6,6.0,<=6m,True,False,11460.0,-0.17452006980802792,0.0,-0.17452006980802792,-0.08726003490401396,-1.1343804537521813,-5.104712041884817,0.2617801047120419,-5.104712041884817
20260720,RBRBRB,5,6,60.0,B,11:27,5,0.0,<=3m,True,False,12250.0,-1.1020408163265307,-1.306122448979592,-0.12244897959183673,-2.3265306122448983,-1.9183673469387756,-0.4489795918367347,0.5714285714285714,-2.5306122448979593
20260804,BRBRBR,5,6,84.0,R,14:33,4,12.0,<=12m,True,False,8910.0,0.5050505050505051,0.3928170594837262,0.33670033670033667,1.4029180695847363,1.739618406285073,,4.938271604938271,-1.4029180695847363
20260812,BRBR,3,4,45.0,R,10:42,5,12.0,<=12m,True,False,7975.0,-0.06269592476489029,0.12539184952978058,0.12539184952978058,1.0031347962382446,1.2539184952978055,3.8244514106583067,4.890282131661442,-0.9404388714733543
20260819,BRBRB,4,5,75.0,B,13:51,6,6.0,<=6m,True,False,9400.0,-0.15957446808510636,-0.4787234042553191,-1.0638297872340425,-1.276595744680851,-0.7978723404255319,0.10638297872340426,0.10638297872340426,-1.6489361702127658
20260819,BRBRB,4,5,84.0,B,14:57,5,18.0,<=30m,False,False,9475.0,0.05277044854881266,0.7387862796833773,1.2137203166226913,0.21108179419525064,-0.5804749340369393,,1.2664907651715038,-0.5804749340369393
20260824,BRBRB,4,5,87.0,B,12:12,5,9.0,<=9m,True,False,7140.0,-0.0700280112044818,0.21008403361344538,-0.2801120448179272,0.6302521008403361,0.0,-1.4705882352941175,1.050420168067227,-1.8207282913165268
20260824,RBRB,3,4,33.0,B,12:09,5,6.0,<=6m,True,False,7105.0,0.49261083743842365,0.422237860661506,0.7037297677691766,1.1963406052076002,-0.211118930330753,-0.9148486980999296,1.5482054890921886,-0.9148486980999296
20260825,BRBRB,4,5,21.0,B,11:51,4,12.0,<=12m,True,False,7920.0,0.12626262626262627,-0.4419191919191919,-0.31565656565656564,-0.5050505050505051,-1.2626262626262625,-2.083333333333333,0.4419191919191919,-3.8510101010101008
