datetime,open,high,low,close,volume,session
2026-07-14 06:06:00,930.2582,931.0,930.2582,930.53,2430,aftermarket
2026-07-14 06:09:00,930.75,930.99,929.2827,930.21,4157,aftermarket
2026-07-14 06:12:00,929.7166,930.63,929.45,929.85,703,aftermarket
2026-07-14 06:15:00,930.15,930.5,929.61,929.99,1745,aftermarket
2026-07-14 06:18:00,929.9679,930.39,929.15,929.96,1707,aftermarket
2026-07-14 06:21:00,930.1,930.2835,929.0,930.19,6312,aftermarket
2026-07-14 06:24:00,929.92,930.4,929.5,929.7924,889,aftermarket
2026-07-14 06:27:00,929.75,930.0,929.2977,929.57,1500,aftermarket
2026-07-14 06:30:00,929.65,930.0,929.2,929.95,3549,aftermarket
2026-07-14 06:33:00,929.75,930.3,929.51,930.0,1572,aftermarket
2026-07-14 06:36:00,930.0,930.29,929.5,930.2001,1200,aftermarket
2026-07-14 06:39:00,930.209,931.74,930.2,931.74,7376,aftermarket
2026-07-14 06:42:00,931.0677,932.66,930.6689,932.66,2943,aftermarket
2026-07-14 06:45:00,932.5742,934.0,932.0,933.15,3467,aftermarket
2026-07-14 06:48:00,932.93,934.0,932.0,932.0,3987,aftermarket
2026-07-14 06:51:00,932.169,933.19,931.1792,931.9,3129,aftermarket
2026-07-14 06:54:00,932.0,932.5,931.5762,931.6214,1353,aftermarket
2026-07-14 06:57:00,932.0,932.0,931.5,931.8,1111,aftermarket
2026-07-14 07:00:00,931.89,935.0,931.89,934.89,6671,aftermarket
2026-07-14 07:03:00,934.6,934.99,933.11,934.6809,5206,aftermarket
2026-07-14 07:06:00,934.68,934.91,933.66,934.0,2780,aftermarket
2026-07-14 07:09:00,933.99,934.6,933.5,933.66,1800,aftermarket
2026-07-14 07:12:00,933.66,934.3,933.09,933.5,2070,aftermarket
2026-07-14 07:15:00,933.375,934.0,932.5,933.0,1719,aftermarket
2026-07-14 07:18:00,933.0,934.0,932.9474,933.61,1302,aftermarket
2026-07-14 07:21:00,933.61,934.0,932.0,932.5,1908,aftermarket
2026-07-14 07:24:00,932.2,932.2,931.0,931.72,1492,aftermarket
2026-07-14 07:27:00,931.47,932.6,930.2501,930.3,3995,aftermarket
2026-07-14 07:30:00,930.96,931.22,930.36,930.36,1614,aftermarket
2026-07-14 07:33:00,930.25,930.4627,929.2,930.17,3523,aftermarket
2026-07-14 07:36:00,930.1,930.26,929.0,929.7,2811,aftermarket
2026-07-14 07:39:00,929.0001,930.95,929.0,930.95,1564,aftermarket
2026-07-14 07:42:00,929.52,930.85,929.52,930.85,1041,aftermarket
2026-07-14 07:45:00,930.56,931.35,930.2775,931.2265,3628,aftermarket
2026-07-14 07:48:00,931.0,931.3,929.21,929.21,2629,aftermarket
2026-07-14 07:51:00,929.4206,930.0,927.25,927.4927,5335,aftermarket
2026-07-14 07:54:00,927.2838,928.0,926.3,926.9495,5592,aftermarket
2026-07-14 07:57:00,926.9513,927.8336,926.5003,926.61,3196,aftermarket
2026-07-14 08:00:00,926.7,926.7,924.0,924.25,9106,aftermarket
2026-07-14 08:03:00,924.45,925.0,921.75,921.7933,7965,aftermarket
