date,at,flag_at,direction,flag_ord,idx,flag_idx,approved,reason,base_approved,base_reason,tw2_cleared,slot,session,flat,held_symbol,forced,tq_score,tq_ok,teg_ok,entry_chop,chop_score,trend_ok,gap,gap_prev,gap_exp,gap_pct,e20_e50_pct,slope50,slope20,close_e20_pct,vwap_pct,vol_ratio,minute,approved_h50,reason_h50,solo_n,solo_net,solo_peak,solo_mae,solo_reason,solo_hold_min,solo_entry,solo_exit,solo_pp_fired,solo_h50_held
20260527,2026-05-27T10:27:00+09:00,2026-05-27T10:21:00+09:00,UP_RED,1,27,26,True,TIME_WINDOW_APPROVED,True,,True,1.0,MORNING,True,,,5,True,True,False,2,False,1022.6707363512378,571.7972456445,450.8734907067378,0.04531106496904022,0.09235531393643659,484.587267966941,1030.3082768050954,0.43366985510179323,0.5689887947794829,0.8493806962100772,10:27,True,TIME_WINDOW_APPROVED,1,3.961894,4.184449549390352,-0.19597101961477295,TIME_WINDOW_TP2_FULL,55.0,2026-05-27T10:27:00+09:00,2026-05-27T11:22:00+09:00,False,False
20260527,2026-05-27T12:00:00+09:00,2026-05-27T11:54:00+09:00,DOWN_BLUE,2,58,57,False,REJECT_LOW_QUALITY_SCORE,False,REJECT_LOW_QUALITY_SCORE,False,,,True,,,2,False,False,False,2,False,481.3472239408875,78.94075243922998,402.4064715016575,0.020552827666135247,-1.22308214375245,-2030.5384933794849,-2221.432555906009,-0.9010934791250121,-3.211702683435895,0.5144150023930731,12:00,False,REJECT_LOW_QUALITY_SCORE,1,0.639333,2.618971507991661,-0.2636553161917998,TIME_WINDOW_PROFIT_LOCK_STOP,24.0,2026-05-27T12:00:00+09:00,2026-05-27T12:24:00+09:00,False,False
20260527,2026-05-27T13:57:00+09:00,2026-05-27T13:51:00+09:00,UP_RED,3,97,96,False,TW2_3SLOT_REJECT_TEG,False,REJECT_TIME_WINDOW,True,2.0,AFTERNOON,True,,,5,True,False,False,2,False,1613.0254446198705,1001.1150559714879,611.9103886483826,0.06976753653200132,-0.037210115806822375,128.55237363325432,422.0874769962393,0.17343559824681526,1.4127367307628613,0.662931687777417,13:57,False,TW2_3SLOT_REJECT_TEG,1,-1.515037,0.0,-1.735573659198914,TIME_WINDOW_STOP_LOSS,6.0,2026-05-27T13:57:00+09:00,2026-05-27T14:03:00+09:00,False,False
20260527,2026-05-27T14:09:00+09:00,2026-05-27T14:03:00+09:00,DOWN_BLUE,4,101,100,False,REJECT_MACD_GAP_NOT_EXPANDING,False,REJECT_MACD_GAP_NOT_EXPANDING,False,,,True,,,4,True,False,False,2,True,17.121964287279297,201.7506862341961,-184.6287219469168,0.0007450811265134594,0.1319181594849719,363.1349826748483,617.4029232179746,0.25523619541211023,-0.7786831679730181,0.7951188248001287,14:09,False,REJECT_MACD_GAP_NOT_EXPANDING,1,0.339795,3.778630499503804,0.0,TIME_WINDOW_PROFIT_LOCK_STOP,18.0,2026-05-27T14:09:00+09:00,2026-05-27T14:27:00+09:00,False,False
20260527,2026-05-27T14:33:00+09:00,2026-05-27T14:27:00+09:00,UP_RED,5,109,108,False,TW2_3SLOT_REJECT_TEG,False,REJECT_TIME_WINDOW,True,2.0,AFTERNOON,True,,,3,True,False,True,3,False,763.5127807334638,697.1826546528155,66.33012608064837,0.033384905147943324,-0.31728582349990686,-557.488914155867,-673.9106961451471,-0.27993666870913714,0.28930639582681794,0.7691535462713538,14:33,False,TW2_3SLOT_REJECT_TEG,1,-2.750148,0.501130631414159,-2.750147851800313,TIME_WINDOW_STOP_LOSS,15.0,2026-05-27T14:33:00+09:00,2026-05-27T14:48:00+09:00,False,False
20260527,2026-05-27T14:51:00+09:00,2026-05-27T14:45:00+09:00,DOWN_BLUE,6,115,114,False,TW2_3SLOT_REJECT_OUTSIDE_WINDOW,False,REJECT_TIME_WINDOW,True,,,True,,,5,True,True,True,3,True,1534.195904713807,110.58267143081594,1423.6132332829911,0.06803529510925974,0.4571141105454556,1646.2929143812507,3160.65823258413,1.331541162286049,1.0937511974352336,2.915560532728144,14:51,False,TW2_3SLOT_REJECT_OUTSIDE_WINDOW,0,,,,,,,,,
20260528,2026-05-28T09:27:00+09:00,2026-05-28T09:21:00+09:00,UP_RED,1,133,132,True,TIME_WINDOW_APPROVED,True,,True,1.0,MORNING,True,,,5,True,False,False,2,False,2577.8151937295297,397.34304744430847,2180.4721462852212,0.11497837616991657,-1.1550300212071238,-829.4717775820754,586.7067920728587,0.2486045729122594,1.7579341124684278,0.9530512004612702,09:27,True,TIME_WINDOW_APPROVED,1,3.904571,4.085316455696202,-0.7226401446654611,TIME_WINDOW_TP2_FULL,15.0,2026-05-28T09:27:00+09:00,2026-05-28T09:42:00+09:00,False,False
20260528,2026-05-28T10:30:00+09:00,2026-05-28T10:24:00+09:00,DOWN_BLUE,2,154,153,False,TW2_REJECT_VWAP_VETO,True,,False,,,True,,,4,True,False,False,2,False,1659.1005584089835,803.752620786755,855.3479376222285,0.07321714732608046,-0.07057332490490287,163.8595084133558,590.9209998394363,0.2477382832513185,-1.362710498739409,0.9757340860260353,10:30,False,TW2_REJECT_VWAP_VETO,1,8.176792,8.176792452830188,-0.4986163522012579,TIME_WINDOW_TP2_FULL,129.0,2026-05-28T10:30:00+09:00,2026-05-28T12:39:00+09:00,False,False
20260528,2026-05-28T11:06:00+09:00,2026-05-28T11:00:00+09:00,UP_RED,3,166,165,True,TIME_WINDOW_APPROVED,True,,True,2.0,AFTERNOON,True,,,5,True,True,True,3,False,850.9877914747846,278.9515630587316,572.036228416053,0.037455448568432415,-0.08110289921388474,240.1160137988627,813.2105482323095,0.3400308190231723,1.479095868122001,0.5310933895167426,11:06,True,TIME_WINDOW_APPROVED,1,-1.317705,0.0,-1.3177048605018424,TIME_WINDOW_STOP_LOSS,9.0,2026-05-28T11:06:00+09:00,2026-05-28T11:15:00+09:00,False,False
20260528,2026-05-28T11:18:00+09:00,2026-05-28T11:12:00+09:00,DOWN_BLUE,4,170,169,False,TW2_3SLOT_REJECT_TEG,True,,True,3.0,AFTERNOON,True,,,4,True,False,True,3,True,746.7591500191361,43.28106195088117,703.4780880682549,0.03317455131137877,0.12357502541838272,568.5366870160215,1173.4184220763855,0.4952232345501983,-0.519219021563837,0.5014342462751611,11:18,False,TW2_3SLOT_REJECT_TEG,1,-1.298388,0.15784252944823313,-1.2983880967141972,TIME_WINDOW_STOP_LOSS,21.0,2026-05-28T11:18:00+09:00,2026-05-28T11:39:00+09:00,False,False
20260528,2026-05-28T11:36:00+09:00,2026-05-28T11:30:00+09:00,UP_RED,5,176,175,False,TW2_3SLOT_REJECT_SAME_DIRECTION_AFTERNOON_2ND,True,,True,,AFTERNOON,True,,,5,True,False,True,3,False,535.9632832587945,70.00334457089957,465.9599386878949,0.023652395554227473,-0.11301628733238753,88.53194186883047,497.8928049202077,0.20873705413675842,1.1646721142397474,0.45006580848126865,11:36,False,REJECT_LOW_QUALITY_SCORE,1,-1.676023,0.0,-1.6760225669957687,TIME_WINDOW_STOP_LOSS,12.0,2026-05-28T11:36:00+09:00,2026-05-28T11:48:00+09:00,False,False
20260528,2026-05-28T11:48:00+09:00,2026-05-28T11:42:00+09:00,DOWN_BLUE,6,180,179,False,TW2_3SLOT_REJECT_TEG,True,,True,3.0,AFTERNOON,True,,,4,True,False,False,1,True,553.8878693447266,225.4099308295181,328.4779385152085,0.024595376081026937,0.14452982333672382,434.61043847491965,778.2256969576702,0.3282923677219508,-0.5260344919026666,0.5176943951068352,11:48,False,TW2_3SLOT_REJECT_TEG,1,4.097905,4.097905113986445,-1.3216882316697474,TIME_WINDOW_AFTERNOON_TP,47.0,2026-05-28T11:48:00+09:00,2026-05-28T12:35:00+09:00,False,False
20260528,2026-05-28T13:33:00+09:00,2026-05-28T13:27:00+09:00,UP_RED,7,215,214,False,TW2_REJECT_VWAP_VETO,False,REJECT_TIME_WINDOW,False,,,True,,,3,True,False,False,2,False,2425.3680580091277,511.07391201432256,1914.2941459948051,0.1104951279275229,-1.1387300382734855,-772.2940249382518,639.3600767492317,0.27671620633784083,-1.3997732590239809,0.8477122389638898,13:33,False,TW2_REJECT_VWAP_VETO,1,0.726796,2.170467502850627,0.0,TIME_WINDOW_PROFIT_LOCK_STOP,9.0,2026-05-28T13:33:00+09:00,2026-05-28T13:42:00+09:00,False,False
