datetime,open,high,low,close,volume
2026-07-31 09:30:00-04:00,309.61,311.97,308.7,311.84,467441
2026-07-31 09:31:00-04:00,311.84,314.384,311.5617,314.3,195210
2026-07-31 09:32:00-04:00,314.2785,314.45,313.32,314.3241,171949
2026-07-31 09:33:00-04:00,314.3241,314.7,313.7,314.093,155041
2026-07-31 09:34:00-04:00,314.093,315.2,313.86,315.0,147973
2026-07-31 09:35:00-04:00,315.0,315.5,313.25,314.0699,223191
2026-07-31 09:36:00-04:00,314.0699,314.5,313.5437,313.68,88844
2026-07-31 09:37:00-04:00,313.68,313.785,312.17,312.785,150048
2026-07-31 09:38:00-04:00,312.785,313.3699,311.5,311.555,154000
2026-07-31 09:39:00-04:00,311.555,311.72,310.41,310.7,130194
2026-07-31 09:40:00-04:00,310.69,311.18,309.7,310.08,113490
2026-07-31 09:41:00-04:00,310.16,310.9799,309.97,309.97,87441
2026-07-31 09:42:00-04:00,309.97,310.4899,309.68,309.7,86290
2026-07-31 09:43:00-04:00,309.71,310.1834,309.55,309.91,63954
2026-07-31 09:44:00-04:00,309.91,309.9475,309.04,309.2132,98322
2026-07-31 09:45:00-04:00,309.2132,309.7,308.19,308.62,123659
2026-07-31 09:46:00-04:00,308.65,308.6599,307.07,307.2606,276929
2026-07-31 09:47:00-04:00,307.295,307.95,307.17,307.495,105210
2026-07-31 09:48:00-04:00,307.495,307.755,306.61,306.9518,143476
2026-07-31 09:49:00-04:00,306.9518,307.16,306.3,306.6,139340
2026-07-31 09:50:00-04:00,306.61,306.96,305.86,306.251,148140
2026-07-31 09:51:00-04:00,306.251,307.39,306.251,306.9546,107320
2026-07-31 09:52:00-04:00,306.9546,307.12,306.3,306.375,73312
2026-07-31 09:53:00-04:00,306.38,306.6,306.06,306.18,59825
2026-07-31 09:54:00-04:00,306.18,306.5299,305.8803,306.4,91008
2026-07-31 09:55:00-04:00,306.4,306.6,306.0,306.225,66106
2026-07-31 09:56:00-04:00,306.225,306.4,305.7801,306.0751,74524
2026-07-31 09:57:00-04:00,306.0751,306.75,306.0482,306.37,68223
2026-07-31 09:58:00-04:00,306.37,306.5799,305.88,305.9601,77385
2026-07-31 09:59:00-04:00,305.9601,306.5674,305.91,306.35,62727
2026-07-31 10:00:00-04:00,306.35,306.72,305.2,305.28,130122
2026-07-31 10:01:00-04:00,305.28,305.65,304.75,305.3299,182134
2026-07-31 10:02:00-04:00,305.3299,305.3299,304.2108,304.6,106901
2026-07-31 10:03:00-04:00,304.6,304.8,304.15,304.44,66388
2026-07-31 10:04:00-04:00,304.44,304.6,303.93,304.215,85234
2026-07-31 10:05:00-04:00,304.215,304.65,303.95,304.543,100070
2026-07-31 10:06:00-04:00,304.543,304.75,303.615,303.86,101089
2026-07-31 10:07:00-04:00,303.86,303.97,303.3316,303.6061,106609
2026-07-31 10:08:00-04:00,303.6061,303.6625,303.12,303.296,116331
2026-07-31 10:09:00-04:00,303.296,303.88,303.26,303.605,60429
2026-07-31 10:10:00-04:00,303.605,303.81,303.13,303.43,66977
2026-07-31 10:11:00-04:00,303.43,303.59,303.147,303.3161,74438
2026-07-31 10:12:00-04:00,303.3161,303.56,302.67,302.895,124363
2026-07-31 10:13:00-04:00,302.895,302.93,302.15,302.18,130310
2026-07-31 10:14:00-04:00,302.18,303.22,301.97,303.0,162925
2026-07-31 10:15:00-04:00,303.0,303.88,302.67,303.675,208794
2026-07-31 10:16:00-04:00,303.675,304.27,303.315,304.0,166542
2026-07-31 10:17:00-04:00,304.0,304.7999,303.84,304.2369,154721
2026-07-31 10:18:00-04:00,304.22,304.78,304.22,304.6601,81956
2026-07-31 10:19:00-04:00,304.6601,304.89,303.23,303.46,253564
2026-07-31 10:20:00-04:00,303.4,304.5,303.32,304.325,91207
2026-07-31 10:21:00-04:00,304.33,304.5,304.04,304.375,54934
2026-07-31 10:22:00-04:00,304.375,305.32,304.22,304.962,91621
2026-07-31 10:23:00-04:00,304.97,305.07,304.47,304.785,61876
2026-07-31 10:24:00-04:00,304.785,304.8399,304.0,304.22,71506
2026-07-31 10:25:00-04:00,304.22,304.575,304.11,304.275,47123
2026-07-31 10:26:00-04:00,304.275,304.4299,304.1001,304.245,38709
2026-07-31 10:27:00-04:00,304.245,304.255,303.69,304.1492,71289
2026-07-31 10:28:00-04:00,304.1492,304.465,303.95,304.445,43767
2026-07-31 10:29:00-04:00,304.445,304.49,303.92,304.345,46331
2026-07-31 10:30:00-04:00,304.345,304.9,304.345,304.755,66866
2026-07-31 10:31:00-04:00,304.755,305.0768,304.56,304.7299,46929
2026-07-31 10:32:00-04:00,304.7299,304.94,304.22,304.9051,57034
2026-07-31 10:33:00-04:00,304.905,305.1495,304.5,304.745,56648
2026-07-31 10:34:00-04:00,304.745,305.0199,304.57,304.92,32069
2026-07-31 10:35:00-04:00,304.92,305.7458,304.74,305.735,91093
2026-07-31 10:36:00-04:00,305.75,305.8699,305.5,305.7,77093
2026-07-31 10:37:00-04:00,305.685,306.04,305.35,305.695,63451
2026-07-31 10:38:00-04:00,305.695,305.8799,305.4601,305.63,52137
2026-07-31 10:39:00-04:00,305.63,306.1328,305.5601,305.9238,51477
2026-07-31 10:40:00-04:00,305.9238,306.14,305.76,305.9606,37806
2026-07-31 10:41:00-04:00,305.9606,306.09,305.38,305.51,79030
2026-07-31 10:42:00-04:00,305.51,305.51,305.11,305.425,74870
2026-07-31 10:43:00-04:00,305.46,305.5295,305.11,305.465,28340
2026-07-31 10:44:00-04:00,305.465,306.37,305.19,306.035,144742
2026-07-31 10:45:00-04:00,305.95,307.49,305.9,306.9499,297012
2026-07-31 10:46:00-04:00,306.86,308.3,306.8,307.94,143544
2026-07-31 10:47:00-04:00,307.94,308.66,307.8001,308.315,151978
2026-07-31 10:48:00-04:00,308.2601,309.62,308.2,309.4991,143697
2026-07-31 10:49:00-04:00,309.4996,310.0,309.21,309.8951,202143
2026-07-31 10:50:00-04:00,309.8951,310.16,309.53,309.825,149047
2026-07-31 10:51:00-04:00,309.825,310.05,309.45,309.63,84854
2026-07-31 10:52:00-04:00,309.63,309.6699,308.23,308.23,117400
2026-07-31 10:53:00-04:00,308.23,308.36,307.56,307.95,109318
2026-07-31 10:54:00-04:00,307.95,308.0987,307.22,307.28,74351
2026-07-31 10:55:00-04:00,307.28,307.446,306.19,306.3462,101460
2026-07-31 10:56:00-04:00,306.3462,307.65,306.3462,307.19,72963
2026-07-31 10:57:00-04:00,307.23,308.43,307.18,307.9377,116290
2026-07-31 10:58:00-04:00,307.96,309.09,307.56,309.02,118978
2026-07-31 10:59:00-04:00,309.02,309.62,308.6805,308.855,105836
2026-07-31 11:00:00-04:00,308.855,308.95,307.96,307.995,66038
2026-07-31 11:01:00-04:00,307.995,308.2097,307.2612,307.38,78964
2026-07-31 11:02:00-04:00,307.27,307.73,307.1,307.6116,61399
2026-07-31 11:03:00-04:00,307.6116,307.72,307.2801,307.6001,29905
2026-07-31 11:04:00-04:00,307.6704,308.07,307.63,307.875,42950
2026-07-31 11:05:00-04:00,307.875,308.83,307.84,308.055,82113
2026-07-31 11:06:00-04:00,308.055,308.54,307.98,308.305,40433
2026-07-31 11:07:00-04:00,308.305,308.7,308.305,308.55,42533
2026-07-31 11:08:00-04:00,308.55,308.55,307.89,307.95,49722
2026-07-31 11:09:00-04:00,307.95,308.27,307.4001,308.14,76370
2026-07-31 11:10:00-04:00,308.14,308.14,307.51,307.61,44021
2026-07-31 11:11:00-04:00,307.61,307.69,307.1,307.31,37455
2026-07-31 11:12:00-04:00,307.31,307.4999,306.85,307.335,57256
2026-07-31 11:13:00-04:00,307.3999,307.48,307.05,307.44,30568
2026-07-31 11:14:00-04:00,307.44,307.87,307.4301,307.695,60845
2026-07-31 11:15:00-04:00,307.695,309.16,307.6,308.485,91564
2026-07-31 11:16:00-04:00,308.485,308.5399,307.39,307.66,57818
2026-07-31 11:17:00-04:00,307.66,307.66,306.91,307.32,44394
2026-07-31 11:18:00-04:00,307.32,307.32,306.8008,307.16,39059
2026-07-31 11:19:00-04:00,307.16,307.55,307.07,307.51,24032
2026-07-31 11:20:00-04:00,307.51,307.6187,307.16,307.26,24065
2026-07-31 11:21:00-04:00,307.26,307.67,307.05,307.14,24614
2026-07-31 11:22:00-04:00,307.14,307.33,306.8001,306.91,33116
2026-07-31 11:23:00-04:00,306.91,307.0899,306.7382,306.935,28523
2026-07-31 11:24:00-04:00,306.935,306.989,306.3201,306.4785,76900
2026-07-31 11:25:00-04:00,306.4785,306.88,306.41,306.67,41092
2026-07-31 11:26:00-04:00,306.67,306.73,305.71,305.934,87915
2026-07-31 11:27:00-04:00,305.934,306.0,305.63,305.83,69846
2026-07-31 11:28:00-04:00,305.83,305.97,305.49,305.8351,52538
2026-07-31 11:29:00-04:00,305.8351,306.0,305.61,305.765,47446
2026-07-31 11:30:00-04:00,305.765,305.87,305.471,305.65,37411
2026-07-31 11:31:00-04:00,305.6802,306.2,305.6493,305.96,68956
2026-07-31 11:32:00-04:00,305.96,306.05,305.66,305.83,48133
2026-07-31 11:33:00-04:00,305.83,305.96,305.58,305.77,23292
2026-07-31 11:34:00-04:00,305.77,305.85,305.42,305.81,61475
2026-07-31 11:35:00-04:00,305.81,306.2495,305.66,306.045,41086
2026-07-31 11:36:00-04:00,306.045,307.09,306.0,306.95,77510
2026-07-31 11:37:00-04:00,307.015,307.56,306.97,307.39,65625
2026-07-31 11:38:00-04:00,307.39,307.99,307.33,307.825,65828
2026-07-31 11:39:00-04:00,307.825,307.94,307.39,307.4,77437
2026-07-31 11:40:00-04:00,307.4,307.63,307.2,307.25,39395
2026-07-31 11:41:00-04:00,307.25,307.25,306.12,306.29,48337
2026-07-31 11:42:00-04:00,306.33,306.39,306.02,306.2799,36576
2026-07-31 11:43:00-04:00,306.2799,306.2799,305.8,306.235,36057
2026-07-31 11:44:00-04:00,306.2999,306.58,306.1961,306.5,27348
2026-07-31 11:45:00-04:00,306.5,306.57,306.01,306.235,27594
2026-07-31 11:46:00-04:00,306.235,306.44,306.05,306.32,27461
2026-07-31 11:47:00-04:00,306.32,306.385,305.985,306.1999,18167
