datetime,open,high,low,close,volume
2026-07-31 09:30:00-04:00,17.43,17.45,17.26,17.26,2657
2026-07-31 09:31:00-04:00,17.26,17.26,16.9138,16.9138,2352
2026-07-31 09:32:00-04:00,16.94,16.98,16.88,16.9,2375
2026-07-31 09:33:00-04:00,16.9,16.97,16.875,16.97,2573
2026-07-31 09:34:00-04:00,16.97,16.97,16.81,16.82,1751
2026-07-31 09:35:00-04:00,16.82,16.97,16.77,16.94,5839
2026-07-31 09:36:00-04:00,16.94,16.975,16.92,16.97,5517
2026-07-31 09:37:00-04:00,16.97,17.08,16.97,17.08,3949
2026-07-31 09:38:00-04:00,17.08,17.14,17.03,17.14,5380
2026-07-31 09:39:00-04:00,17.14,17.33,17.14,17.305,5936
2026-07-31 09:40:00-04:00,17.305,17.42,17.26,17.39,6745
2026-07-31 09:41:00-04:00,17.39,17.39,17.295,17.33,1352
2026-07-31 09:42:00-04:00,17.33,17.4,17.33,17.38,3017
2026-07-31 09:43:00-04:00,17.38,17.39,17.38,17.39,432
2026-07-31 09:44:00-04:00,17.39,17.4701,17.39,17.4701,659
2026-07-31 09:45:00-04:00,17.4701,17.56,17.45,17.54,3334
2026-07-31 09:46:00-04:00,17.54,17.69,17.54,17.69,10497
2026-07-31 09:47:00-04:00,17.69,17.695,17.66,17.6698,4198
2026-07-31 09:48:00-04:00,17.6698,17.7385,17.6698,17.73,5692
2026-07-31 09:49:00-04:00,17.73,17.8099,17.73,17.755,2883
2026-07-31 09:50:00-04:00,17.755,17.85,17.75,17.81,8469
2026-07-31 09:51:00-04:00,17.81,17.81,17.705,17.7402,2898
2026-07-31 09:52:00-04:00,17.7402,17.79,17.7402,17.79,2384
2026-07-31 09:53:00-04:00,17.79,17.8184,17.79,17.8101,1279
2026-07-31 09:54:00-04:00,17.8101,17.825,17.8,17.8215,4365
2026-07-31 09:55:00-04:00,17.8215,17.8298,17.78,17.82,4921
2026-07-31 09:56:00-04:00,17.82,17.8584,17.81,17.8414,3109
2026-07-31 09:57:00-04:00,17.83,17.83,17.79,17.81,3820
2026-07-31 09:58:00-04:00,17.81,17.86,17.79,17.8599,1067
2026-07-31 09:59:00-04:00,17.8599,17.8599,17.8599,17.8599,191
2026-07-31 10:00:00-04:00,17.8599,17.9075,17.77,17.9075,557
2026-07-31 10:01:00-04:00,17.9075,17.98,17.89,17.89,3942
2026-07-31 10:02:00-04:00,17.89,18.0381,17.89,18.02,7073
2026-07-31 10:03:00-04:00,18.02,18.04,18.0,18.02,3980
2026-07-31 10:04:00-04:00,18.02,18.065,18.02,18.055,1766
2026-07-31 10:05:00-04:00,18.055,18.07,18.0015,18.0015,2667
2026-07-31 10:06:00-04:00,18.0015,18.1,18.0,18.1,2020
2026-07-31 10:07:00-04:00,18.1,18.1,18.0881,18.0881,1075
2026-07-31 10:08:00-04:00,18.0881,18.17,18.0881,18.15,5724
2026-07-31 10:09:00-04:00,18.15,18.15,18.09,18.09,893
2026-07-31 10:10:00-04:00,18.09,18.16,18.09,18.1285,3193
2026-07-31 10:11:00-04:00,18.1285,18.15,18.12,18.145,2056
2026-07-31 10:12:00-04:00,18.145,18.19,18.13,18.188,4230
2026-07-31 10:13:00-04:00,18.188,18.278,18.188,18.275,8480
2026-07-31 10:14:00-04:00,18.284,18.284,18.18,18.18,3428
2026-07-31 10:15:00-04:00,18.18,18.21,18.12,18.13,17232
2026-07-31 10:16:00-04:00,18.13,18.13,18.06,18.08,15601
2026-07-31 10:17:00-04:00,18.08,18.08,17.992,18.0301,6459
2026-07-31 10:18:00-04:00,18.0301,18.04,17.98,17.995,2028
2026-07-31 10:19:00-04:00,17.995,18.14,17.995,18.14,6021
2026-07-31 10:20:00-04:00,18.14,18.14,18.12,18.12,655
2026-07-31 10:21:00-04:00,18.04,18.05,18.02,18.025,958
2026-07-31 10:22:00-04:00,18.025,18.035,18.0,18.0,1779
2026-07-31 10:23:00-04:00,18.0,18.0,17.955,17.99,2304
2026-07-31 10:24:00-04:00,17.99,18.05,17.99,18.045,1179
2026-07-31 10:25:00-04:00,18.045,18.045,18.03,18.03,405
2026-07-31 10:26:00-04:00,18.035,18.045,18.03,18.04,827
2026-07-31 10:27:00-04:00,18.04,18.0953,18.04,18.05,2149
2026-07-31 10:28:00-04:00,18.05,18.05,18.025,18.025,2272
2026-07-31 10:29:00-04:00,18.015,18.065,18.015,18.035,1237
2026-07-31 10:30:00-04:00,18.035,18.035,17.98,17.98,1874
2026-07-31 10:31:00-04:00,17.98,18.0,17.97,18.0,478
2026-07-31 10:32:00-04:00,18.0,18.005,17.98,17.98,1477
2026-07-31 10:33:00-04:00,17.98,17.995,17.965,17.965,908
2026-07-31 10:34:00-04:00,17.965,17.965,17.965,17.965,201
2026-07-31 10:35:00-04:00,17.965,17.965,17.89,17.895,1614
2026-07-31 10:36:00-04:00,17.862,17.89,17.86,17.87,1463
2026-07-31 10:37:00-04:00,17.87,17.885,17.87,17.8716,1345
2026-07-31 10:38:00-04:00,17.8716,17.88,17.8716,17.88,573
2026-07-31 10:39:00-04:00,17.88,17.88,17.842,17.842,677
2026-07-31 10:40:00-04:00,17.842,17.85,17.842,17.845,673
2026-07-31 10:41:00-04:00,17.835,17.88,17.835,17.86,1954
2026-07-31 10:42:00-04:00,17.86,17.86,17.86,17.86,224
2026-07-31 10:43:00-04:00,17.86,17.9201,17.86,17.9201,638
2026-07-31 10:44:00-04:00,17.9201,17.9201,17.83,17.855,18710
2026-07-31 10:45:00-04:00,17.855,17.855,17.69,17.74,15880
2026-07-31 10:46:00-04:00,17.74,17.75,17.63,17.63,4454
2026-07-31 10:47:00-04:00,17.63,17.63,17.55,17.57,6054
2026-07-31 10:48:00-04:00,17.57,17.585,17.495,17.495,1425
2026-07-31 10:49:00-04:00,17.495,17.495,17.39,17.39,2542
2026-07-31 10:50:00-04:00,17.39,17.43,17.39,17.43,2497
2026-07-31 10:51:00-04:00,17.43,17.4399,17.4081,17.42,1640
2026-07-31 10:52:00-04:00,17.42,17.5181,17.42,17.515,4186
2026-07-31 10:53:00-04:00,17.515,17.61,17.515,17.61,1640
2026-07-31 10:54:00-04:00,17.61,17.695,17.61,17.695,1442
2026-07-31 10:55:00-04:00,17.695,17.805,17.695,17.805,2618
2026-07-31 10:56:00-04:00,17.79,17.79,17.71,17.71,2629
2026-07-31 10:57:00-04:00,17.71,17.71,17.58,17.61,1468
2026-07-31 10:58:00-04:00,17.61,17.64,17.53,17.53,1643
2026-07-31 10:59:00-04:00,17.53,17.53,17.44,17.53,3948
2026-07-31 11:00:00-04:00,17.53,17.545,17.53,17.545,914
2026-07-31 11:01:00-04:00,17.545,17.66,17.545,17.66,4124
2026-07-31 11:02:00-04:00,17.66,17.66,17.655,17.655,719
2026-07-31 11:03:00-04:00,17.685,17.685,17.655,17.655,1746
