sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,15467554000000.0,-0.18,4,0,
holding_company,,2036247000000.0,-0.25,10,1,
auto,,951083000000.0,-5.47,6,0,
power_grid,,744222000000.0,0.98,6,0,
ai_data_center,,343990000000.0,-2.66,5,0,
shipbuilding,,332479000000.0,-4.79,4,0,
battery_ev,,329923000000.0,-3.19,5,0,
finance,,304510000000.0,-4.18,9,0,
defense,,280340000000.0,-1.92,8,0,
construction_machinery,,113678000000.0,-1.41,8,0,
materials_copper,,105968000000.0,-2.16,4,1,
robotics,,49458000000.0,-1.38,1,0,
bio_healthcare,,33360000000.0,-1.86,2,0,
entertainment_game,,23042000000.0,-5.29,2,0,
