sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,5010305000000.0,-4.97,3,0,
shipbuilding,,490019000000.0,-8.62,4,0,
auto,,179872000000.0,-2.97,4,1,
power_grid,,157098000000.0,-3.11,6,0,
holding_company,,118744000000.0,-0.95,9,0,
battery_ev,,102193000000.0,-1.23,6,0,
finance,,84161000000.0,-0.95,12,0,
defense,,83300000000.0,-6.19,6,0,
ai_data_center,,57174000000.0,-3.87,3,0,
cosmetics_consumer,,43635000000.0,4.28,3,0,
entertainment_game,,29745000000.0,7.91,1,0,
construction_machinery,,21883000000.0,0.23,5,0,
materials_copper,,20476000000.0,-1.47,3,0,
bio_healthcare,,13003000000.0,0.2,1,0,
robotics,,1451000000.0,0.13,1,1,
