sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,9941509000000.0,-0.99,3,0,
shipbuilding,,623593000000.0,1.42,4,1,
power_grid,,554162000000.0,-2.67,7,0,
auto,,509849000000.0,7.89,5,1,
finance,,351873000000.0,1.15,12,0,
holding_company,,325036000000.0,-2.18,8,0,
defense,,214507000000.0,1.08,8,0,
ai_data_center,,162530000000.0,-0.44,4,0,
battery_ev,,157161000000.0,-2.25,6,0,
cosmetics_consumer,,62033000000.0,-1.15,3,0,
bio_healthcare,,45659000000.0,-3.09,2,0,
materials_copper,,45204000000.0,-0.33,3,0,
construction_machinery,,42715000000.0,-0.51,5,0,
entertainment_game,,20257000000.0,3.9,1,0,
