sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,9209644000000.0,-1.47,3,0,
shipbuilding,,568078000000.0,1.37,4,1,
power_grid,,521985000000.0,-3.39,7,0,
auto,,452392000000.0,3.73,5,0,
finance,,336902000000.0,1.14,12,0,
holding_company,,305960000000.0,-2.44,8,0,
defense,,203765000000.0,0.79,8,0,
ai_data_center,,153902000000.0,-0.41,4,0,
battery_ev,,148050000000.0,-2.44,6,0,
cosmetics_consumer,,58980000000.0,-1.22,3,0,
bio_healthcare,,43014000000.0,-2.95,2,0,
materials_copper,,41982000000.0,-0.53,3,0,
construction_machinery,,39750000000.0,-0.62,5,0,
entertainment_game,,19156000000.0,3.41,1,0,
