sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,14713197000000.0,-0.46,4,0,
holding_company,,1993724000000.0,-0.45,10,1,
auto,,906720000000.0,-5.58,6,0,
power_grid,,701803000000.0,0.83,6,0,
ai_data_center,,327876000000.0,-2.56,5,0,
shipbuilding,,319648000000.0,-4.75,4,0,
battery_ev,,318791000000.0,-3.43,5,0,
finance,,292091000000.0,-4.25,9,0,
defense,,269616000000.0,-1.85,8,0,
construction_machinery,,109891000000.0,-1.86,8,0,
materials_copper,,100589000000.0,-2.17,4,1,
robotics,,47696000000.0,-1.77,1,0,
bio_healthcare,,31982000000.0,-2.17,2,0,
entertainment_game,,22187000000.0,-5.6,2,0,
