sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,3024514000000.0,0.62,3,0,
power_grid,,514461000000.0,0.38,9,1,
holding_company,,380479000000.0,0.16,9,0,
auto,,261314000000.0,-1.89,6,0,
ai_data_center,,189489000000.0,2.76,4,1,
battery_ev,,153829000000.0,-4.28,5,0,
shipbuilding,,75973000000.0,-2.84,4,0,
defense,,43939000000.0,-1.82,7,0,
construction_machinery,,43468000000.0,-1.41,6,0,
finance,,28726000000.0,1.34,6,0,
materials_copper,,28208000000.0,-2.75,4,0,
robotics,,26328000000.0,-0.33,1,0,
bio_healthcare,,14492000000.0,-0.11,1,0,
cosmetics_consumer,,3474000000.0,1.21,1,0,
