sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,4863498000000.0,1.03,3,0,
shipbuilding,,329733000000.0,4.75,4,1,
power_grid,,286855000000.0,-0.78,6,0,
finance,,245586000000.0,3.46,14,0,
holding_company,,171401000000.0,0.48,9,0,
auto,,167108000000.0,3.42,5,0,
defense,,156982000000.0,4.27,9,1,
ai_data_center,,88620000000.0,1.19,4,0,
battery_ev,,70806000000.0,-1.0,5,0,
cosmetics_consumer,,28345000000.0,0.83,2,0,
bio_healthcare,,26982000000.0,-3.25,2,0,
construction_machinery,,20608000000.0,0.77,5,0,
materials_copper,,16165000000.0,0.76,2,0,
entertainment_game,,8570000000.0,6.83,1,0,
