sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,2846685000000.0,0.57,3,0,
power_grid,,492200000000.0,-0.34,9,1,
holding_company,,365448000000.0,-0.03,9,0,
auto,,249993000000.0,-1.86,6,0,
ai_data_center,,183925000000.0,2.79,4,1,
battery_ev,,145865000000.0,-4.63,5,0,
shipbuilding,,71354000000.0,-2.49,4,0,
construction_machinery,,41642000000.0,-0.9,6,0,
defense,,40530000000.0,-1.24,7,0,
materials_copper,,26448000000.0,-2.74,4,0,
robotics,,25319000000.0,-1.31,1,0,
bio_healthcare,,24437000000.0,-0.77,2,0,
finance,,20898000000.0,0.24,5,0,
cosmetics_consumer,,2952000000.0,1.01,1,0,
