sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,5620134000000.0,0.61,3,0,
shipbuilding,,398079000000.0,2.97,4,1,
power_grid,,348255000000.0,-2.22,7,0,
finance,,267465000000.0,3.15,12,0,
auto,,246256000000.0,3.68,5,0,
holding_company,,198438000000.0,-0.51,9,0,
defense,,147482000000.0,2.75,8,1,
ai_data_center,,101011000000.0,-0.49,3,0,
battery_ev,,86571000000.0,-1.77,6,0,
cosmetics_consumer,,40827000000.0,-1.14,3,0,
bio_healthcare,,26034000000.0,-3.81,1,0,
construction_machinery,,25015000000.0,0.35,5,0,
materials_copper,,20061000000.0,0.66,2,0,
entertainment_game,,11850000000.0,6.1,1,0,
