sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,2648724000000.0,-2.92,3,0,
shipbuilding,,276120000000.0,-6.76,5,0,
power_grid,,77324000000.0,-1.43,6,0,
battery_ev,,52507000000.0,1.09,5,0,
defense,,51923000000.0,-5.03,7,0,
auto,,50913000000.0,0.74,6,0,
holding_company,,46926000000.0,-0.8,9,0,
finance,,41199000000.0,-0.33,12,0,
ai_data_center,,22914000000.0,-1.25,4,0,
materials_copper,,9725000000.0,-0.44,3,0,
construction_machinery,,7469000000.0,-1.02,5,0,
bio_healthcare,,5780000000.0,-0.34,1,0,
cosmetics_consumer,,4865000000.0,-1.1,2,0,
entertainment_game,,4787000000.0,0.47,1,0,
robotics,,659000000.0,1.73,1,0,
