sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,14604276000000.0,-0.34,4,0,
holding_company,,1983900000000.0,-0.12,10,1,
auto,,887788000000.0,-5.83,5,0,
power_grid,,686372000000.0,0.85,6,0,
battery_ev,,331397000000.0,-3.01,6,0,
ai_data_center,,321311000000.0,-2.38,5,0,
shipbuilding,,314251000000.0,-4.61,4,0,
finance,,287165000000.0,-3.92,9,0,
defense,,266364000000.0,-1.51,8,0,
construction_machinery,,108225000000.0,-1.69,8,0,
materials_copper,,98867000000.0,-2.06,4,1,
robotics,,47305000000.0,-1.57,1,0,
bio_healthcare,,31654000000.0,-2.17,2,0,
entertainment_game,,21809000000.0,-5.41,2,0,
