sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,8462918000000.0,-3.14,3,0,
power_grid,,543279000000.0,1.67,6,0,
auto,,519334000000.0,4.26,5,0,
holding_company,,401758000000.0,-0.04,7,0,
battery_ev,,295115000000.0,14.31,7,0,
construction_machinery,,159860000000.0,10.33,7,0,
ai_data_center,,154497000000.0,5.09,5,0,
finance,,131302000000.0,3.0,9,0,
defense,,94715000000.0,4.99,6,0,
shipbuilding,,92701000000.0,5.18,3,0,
materials_copper,,61113000000.0,7.56,4,0,
bio_healthcare,,44806000000.0,8.65,2,0,
cosmetics_consumer,,44254000000.0,13.5,2,1,
robotics,,24190000000.0,6.59,1,0,
