rank,symbol,name,current_price,change_rate,volume,trading_value,market,collected_at,source_url,is_etf,is_etn,is_preferred,is_spac,is_reit,sector,subtheme,excluded_reason,sector_tv_rank
1,005930,삼성전자,353500.0,-0.14,17400342,6133080000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,semiconductor,hbm,negative_change_rate,
5,010690,화신,12240.0,-14.58,2584581,33404000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
6,006800,미래에셋증권,46000.0,-5.64,2552966,118475000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,finance,,negative_change_rate,
7,010140,삼성중공업,26350.0,-4.36,2134395,56810000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,shipbuilding,,negative_change_rate,
8,034020,두산에너빌리티,94400.0,-3.58,1846084,176605000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,power_grid,,negative_change_rate,
9,092790,넥스틸,15650.0,0.13,1680442,27036000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,materials_copper,,price_below_20000,
10,042660,한화오션,116700.0,-9.11,1579064,189351000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,shipbuilding,,negative_change_rate,
11,028050,삼성E&A,49800.0,2.36,1494705,74726000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
12,001820,삼화콘덴서,166500.0,-2.92,1149848,203414000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
13,204320,HL만도,56900.0,-12.86,1061051,63431000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,auto,,negative_change_rate,
14,005380,현대차,581000.0,-5.22,1037306,612639000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,auto,,negative_change_rate,
15,035720,카카오,36900.0,-2.25,1030090,39004000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,ai_data_center,,negative_change_rate,
16,003490,대한항공,27100.0,-3.04,964183,26173000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,defense,,negative_change_rate,
17,009830,한화솔루션,38000.0,-0.13,946734,36453000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,defense,,negative_change_rate,
18,010120,LS ELECTRIC,246500.0,-4.83,861863,218176000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,True,False,False,False,False,power_grid,,etf_etn,
19,035420,NAVER,223000.0,-2.83,847127,193144000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,ai_data_center,,negative_change_rate,
20,077970,STX엔진,32150.0,-4.74,745089,26356000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
21,082740,한화엔진,56600.0,-7.21,723440,43042000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,defense,,negative_change_rate,
22,015760,한국전력,38250.0,0.92,689945,26219000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,power_grid,,change_rate_below_min,
23,042700,한미반도체,299500.0,1.53,682548,204085000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,semiconductor,,change_rate_below_min,
24,402340,SK스퀘어,1934500.0,8.68,678445,1284534000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
25,009150,삼성전기,2231000.0,-1.72,615392,1391457000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
26,112610,씨에스윈드,43500.0,2.47,587356,25920000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
27,006360,GS건설,27050.0,1.88,525425,14058000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,construction_machinery,,change_rate_below_min,
28,454910,두산로보틱스,100000.0,-1.77,470725,47696000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,robotics,,negative_change_rate,
29,006400,삼성SDI,535000.0,-3.6,422169,235336000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,battery_ev,,negative_change_rate,
30,011200,HMM,19510.0,-3.18,421056,8293000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
31,161000,애경케미칼,10500.0,-1.41,420510,4593000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
32,100090,SK오션플랜트,15710.0,-3.32,409247,6575000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,construction_machinery,,price_below_20000,
34,011790,SKC,119900.0,0.25,398449,47398000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
35,316140,우리금융지주,29950.0,-3.54,385353,11603000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,finance,,negative_change_rate,
36,017670,SK텔레콤,93100.0,-1.9,358071,33402000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
37,018260,삼성에스디에스,209500.0,-1.18,355860,77389000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
39,012330,현대모비스,571000.0,-6.7,341961,199784000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,auto,,negative_change_rate,
40,003550,LG,109900.0,0.92,341393,38539000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,holding_company,,change_rate_below_min,
41,375500,DL이앤씨,74100.0,0.27,332837,24447000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,construction_machinery,,change_rate_below_min,
42,024110,기업은행,20550.0,-4.2,292800,6098000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,finance,,negative_change_rate,
43,323410,카카오뱅크,21200.0,-4.29,289830,6257000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,ai_data_center,,negative_change_rate,
44,007660,이수페타시스,117200.0,1.82,285878,33327000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
45,000720,현대건설,127500.0,-0.86,271284,34852000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,construction_machinery,,negative_change_rate,
46,004020,현대제철,31000.0,-5.34,267572,8514000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,materials_copper,,negative_change_rate,
47,005690,파미셀,13180.0,-2.01,247499,3238000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
48,000500,가온전선,339000.0,0.44,245060,85255000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,ai_data_center,electric_cable,change_rate_below_min,
49,022100,포스코DX,25150.0,-8.21,244623,6281000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
50,272210,한화시스템,89700.0,-1.54,239826,21783000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,defense,,negative_change_rate,
51,032830,삼성생명,455000.0,-8.45,229175,108904000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,finance,,negative_change_rate,
52,217590,티엠씨,16150.0,-4.04,228526,3801000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
53,336260,두산퓨얼셀,62300.0,-4.15,208843,13043000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,holding_company,,negative_change_rate,
54,011070,LG이노텍,1136000.0,-0.79,205463,238152000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,holding_company,,negative_change_rate,
55,000270,기아,151500.0,-2.19,193396,29716000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,auto,,negative_change_rate,
56,489790,한화비전,65300.0,-3.12,183407,12197000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,defense,,negative_change_rate,
57,005490,POSCO홀딩스,346500.0,-2.81,182460,64219000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,materials_copper,,negative_change_rate,
58,195870,해성디에스,83500.0,13.92,178865,14427000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
59,002020,코오롱,47750.0,-8.17,177718,9819000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,holding_company,,negative_change_rate,
61,103590,일진전기,80500.0,-4.62,170004,13772000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,power_grid,,negative_change_rate,
62,007810,코리아써키트,115100.0,-3.36,162963,19103000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
63,336370,솔루스첨단소재,10620.0,-3.01,159804,1727000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,battery_ev,,price_below_20000,
64,047050,포스코인터내셔널,52900.0,-3.82,158243,8471000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,construction_machinery,,negative_change_rate,
65,016360,삼성증권,113600.0,-4.46,155031,17838000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,finance,,negative_change_rate,
66,017960,한국카본,29850.0,-1.65,154067,4656000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,shipbuilding,,negative_change_rate,
67,005940,NH투자증권,30350.0,-5.16,141597,4365000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,finance,,negative_change_rate,
68,281820,케이씨텍,93800.0,9.96,136831,12442000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
69,003160,디아이,27900.0,1.27,135860,3794000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
70,373220,LG에너지솔루션,386000.0,-4.57,134943,53740000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,battery_ev,,negative_change_rate,
71,075580,세진중공업,14250.0,-2.6,132680,1991000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,construction_machinery,,price_below_20000,
72,032640,LG유플러스,14520.0,-1.29,130192,1920000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,holding_company,,price_below_20000,
73,068270,셀트리온,167000.0,-1.94,129975,21784000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,bio_healthcare,,negative_change_rate,
74,090460,비에이치,25400.0,1.4,129210,3304000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
75,139130,iM금융지주,16490.0,-2.77,127805,2149000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,finance,,price_below_20000,
76,066970,엘앤에프,123700.0,-3.81,127249,16137000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,battery_ev,cathodic,negative_change_rate,
77,034230,파라다이스,14010.0,-2.78,121253,1732000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
78,326030,SK바이오팜,84900.0,-2.41,118698,10198000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,bio_healthcare,,negative_change_rate,
79,034730,SK,724000.0,0.0,117792,86654000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,holding_company,,negative_change_rate,
80,096770,SK이노베이션,100200.0,-2.15,117074,11851000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,battery_ev,,negative_change_rate,
81,010060,OCI홀딩스,246500.0,-3.9,116159,29723000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,holding_company,,negative_change_rate,
82,032350,롯데관광개발,16140.0,-4.89,110961,1804000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
83,267270,HD건설기계,132500.0,-3.07,109663,14634000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,construction_machinery,,negative_change_rate,
84,251270,넷마블,38200.0,-6.49,109296,4294000000.0,,20260622 14:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,entertainment_game,,negative_change_rate,
