sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,5324834000000.0,0.69,3,0,
shipbuilding,,369924000000.0,4.18,4,1,
power_grid,,316835000000.0,-1.54,7,0,
finance,,267026000000.0,3.12,13,0,
auto,,219960000000.0,3.79,5,0,
holding_company,,184199000000.0,0.31,9,0,
defense,,171240000000.0,3.21,9,1,
ai_data_center,,96801000000.0,0.3,4,0,
battery_ev,,78636000000.0,-0.73,5,0,
cosmetics_consumer,,36571000000.0,-0.06,3,0,
construction_machinery,,23111000000.0,0.89,5,0,
bio_healthcare,,21560000000.0,-2.72,1,0,
materials_copper,,18253000000.0,1.25,2,0,
entertainment_game,,11130000000.0,6.1,1,0,
