sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,8976709000000.0,-4.44,3,0,
power_grid,,573870000000.0,0.99,6,0,
auto,,552074000000.0,3.51,5,0,
holding_company,,427115000000.0,-0.25,7,0,
battery_ev,,327662000000.0,12.31,7,0,
construction_machinery,,173430000000.0,10.24,7,0,
ai_data_center,,172913000000.0,4.98,5,0,
finance,,145312000000.0,2.56,9,0,
defense,,103432000000.0,4.75,6,0,
shipbuilding,,98772000000.0,4.91,3,0,
materials_copper,,68458000000.0,7.07,4,0,
cosmetics_consumer,,47925000000.0,11.94,2,1,
bio_healthcare,,47718000000.0,8.57,2,0,
robotics,,25679000000.0,5.76,1,0,
