rank,symbol,name,sector,subtheme,current_price,change_rate,trading_value,sector_strength_score,sector_leader_score,us_sector_match_score,volume_spike_confirm_score,ma_bonus,risk_penalty,final_score,hard_excluded,eligible,selected,selected_reason,sector_rank,warning_reason,excluded_reason,matched_us_sector,us_sector_reason,us_data_source,market_regime
1,042660,한화오션,shipbuilding,,118100.0,10.48,319691000000.0,16.8,25.0,10,10,0,0,61.8,,,,섹터1위(shipbuilding) | 거래량급증중복 | 미국섹터매칭(industrials),,,,industrials,us_moderate_industrials,yahoo,risk_on
2,006800,미래에셋증권,finance,,45550.0,6.55,128441000000.0,8.8,20.0,10,0,0,0,38.75,,,,섹터1위(finance) | 미국섹터매칭(financials),,,,financials,us_moderate_financials,yahoo,risk_on
3,005930,삼성전자,semiconductor,hbm,320500.0,3.55,2588989000000.0,22.8,5.0,10,0,0,0,37.75,,,,거래대금섹터1위 | 미국섹터매칭(semiconductor),,,,semiconductor,us_moderate_semiconductor,yahoo,risk_on
