datetime,open,high,low,close,volume
2026-08-14 09:00:00+09:00,1695000.0,1695000.0,1684000.0,1687000.0,209180
2026-08-14 09:01:00+09:00,1688000.0,1691000.0,1675000.0,1690000.0,73679
2026-08-14 09:02:00+09:00,1690000.0,1695000.0,1685000.0,1686000.0,39403
2026-08-14 09:03:00+09:00,1687000.0,1689000.0,1678000.0,1686000.0,43307
2026-08-14 09:04:00+09:00,1686000.0,1692000.0,1686000.0,1690000.0,24922
2026-08-14 09:05:00+09:00,1690000.0,1691000.0,1683000.0,1685000.0,20290
2026-08-14 09:06:00+09:00,1685000.0,1685000.0,1675000.0,1676000.0,22772
2026-08-14 09:07:00+09:00,1675000.0,1682000.0,1674000.0,1680000.0,25531
2026-08-14 09:08:00+09:00,1680000.0,1688000.0,1679000.0,1688000.0,17460
2026-08-14 09:09:00+09:00,1688000.0,1694000.0,1686000.0,1689000.0,33730
2026-08-14 09:10:00+09:00,1690000.0,1692000.0,1689000.0,1691000.0,16345
2026-08-14 09:11:00+09:00,1690000.0,1694000.0,1689000.0,1693000.0,19500
2026-08-14 09:12:00+09:00,1693000.0,1697000.0,1692000.0,1693000.0,37833
2026-08-14 09:13:00+09:00,1693000.0,1694000.0,1691000.0,1692000.0,12618
2026-08-14 09:14:00+09:00,1692000.0,1693000.0,1683000.0,1684000.0,18715
2026-08-14 09:15:00+09:00,1685000.0,1690000.0,1681000.0,1683000.0,21882
2026-08-14 09:16:00+09:00,1683000.0,1684000.0,1677000.0,1678000.0,23067
2026-08-14 09:17:00+09:00,1678000.0,1684000.0,1677000.0,1679000.0,19550
2026-08-14 09:18:00+09:00,1678500.0,1679000.0,1673000.0,1673000.0,21719
2026-08-14 09:19:00+09:00,1673000.0,1677000.0,1671000.0,1673000.0,29326
2026-08-14 09:20:00+09:00,1673000.0,1675000.0,1670000.0,1673000.0,27010
2026-08-14 09:21:00+09:00,1672000.0,1678000.0,1672000.0,1677000.0,15722
2026-08-14 09:22:00+09:00,1678000.0,1678000.0,1674000.0,1676000.0,10238
2026-08-14 09:23:00+09:00,1677000.0,1677000.0,1674000.0,1676000.0,10750
2026-08-14 09:24:00+09:00,1676000.0,1678000.0,1671000.0,1674000.0,9590
2026-08-14 09:25:00+09:00,1674000.0,1674000.0,1667000.0,1668000.0,13030
2026-08-14 09:26:00+09:00,1667500.0,1674000.0,1666000.0,1672000.0,19146
2026-08-14 09:27:00+09:00,1672000.0,1680000.0,1670000.0,1680000.0,16353
2026-08-14 09:28:00+09:00,1680000.0,1681000.0,1678000.0,1680000.0,8891
2026-08-14 09:29:00+09:00,1680000.0,1683000.0,1679000.0,1680000.0,7527
2026-08-14 09:30:00+09:00,1680000.0,1684000.0,1678000.0,1682000.0,9321
2026-08-14 09:31:00+09:00,1682000.0,1683000.0,1679000.0,1682000.0,6880
2026-08-14 09:32:00+09:00,1681000.0,1684000.0,1681000.0,1683000.0,9136
2026-08-14 09:33:00+09:00,1682500.0,1684000.0,1681000.0,1684000.0,6411
2026-08-14 09:34:00+09:00,1683000.0,1684000.0,1683000.0,1683000.0,3977
2026-08-14 09:35:00+09:00,1683000.0,1684000.0,1680000.0,1681000.0,7161
2026-08-14 09:36:00+09:00,1682000.0,1684000.0,1680000.0,1682000.0,7473
2026-08-14 09:37:00+09:00,1682000.0,1690000.0,1681000.0,1689000.0,21150
2026-08-14 09:38:00+09:00,1689000.0,1690000.0,1687000.0,1689000.0,11424
2026-08-14 09:39:00+09:00,1689000.0,1692000.0,1688000.0,1691000.0,15075
2026-08-14 09:40:00+09:00,1691000.0,1693000.0,1688000.0,1689500.0,14807
2026-08-14 09:41:00+09:00,1689000.0,1691000.0,1688000.0,1690000.0,7986
2026-08-14 09:42:00+09:00,1690000.0,1691000.0,1688000.0,1689000.0,8758
