date,time,open,high,low,close,volume,datetime
20260731,150100,1718000.0,1718000.0,1718000.0,1718000.0,7030,2026-07-31 15:01:00
20260731,150200,1718000.0,1718000.0,1718000.0,1718000.0,17140,2026-07-31 15:02:00
20260731,150300,1718000.0,1718000.0,1718000.0,1718000.0,5818,2026-07-31 15:03:00
20260731,150400,1718000.0,1718000.0,1718000.0,1718000.0,23326,2026-07-31 15:04:00
20260731,150500,1718000.0,1718000.0,1718000.0,1718000.0,2608,2026-07-31 15:05:00
20260731,150600,1718000.0,1718000.0,1718000.0,1718000.0,3479,2026-07-31 15:06:00
20260731,150700,1718000.0,1718000.0,1718000.0,1718000.0,4298,2026-07-31 15:07:00
20260731,150800,1718000.0,1718000.0,1718000.0,1718000.0,3352,2026-07-31 15:08:00
20260731,150900,1718000.0,1718000.0,1718000.0,1718000.0,9849,2026-07-31 15:09:00
20260731,151000,1718000.0,1718000.0,1718000.0,1718000.0,2638,2026-07-31 15:10:00
20260731,151100,1718000.0,1718000.0,1718000.0,1718000.0,3805,2026-07-31 15:11:00
20260731,151200,1718000.0,1718000.0,1718000.0,1718000.0,2003,2026-07-31 15:12:00
20260731,151300,1718000.0,1718000.0,1718000.0,1718000.0,2315,2026-07-31 15:13:00
20260731,151400,1718000.0,1718000.0,1718000.0,1718000.0,3140,2026-07-31 15:14:00
20260731,151500,1718000.0,1718000.0,1718000.0,1718000.0,3942,2026-07-31 15:15:00
20260731,151600,1718000.0,1718000.0,1718000.0,1718000.0,2523,2026-07-31 15:16:00
20260731,151700,1718000.0,1718000.0,1718000.0,1718000.0,3165,2026-07-31 15:17:00
20260731,151800,1718000.0,1718000.0,1718000.0,1718000.0,6751,2026-07-31 15:18:00
20260731,151900,1718000.0,1718000.0,1718000.0,1718000.0,4767,2026-07-31 15:19:00
20260731,152000,1718000.0,1718000.0,1718000.0,1718000.0,0,2026-07-31 15:20:00
20260731,152100,1718000.0,1718000.0,1718000.0,1718000.0,0,2026-07-31 15:21:00
20260731,152200,1718000.0,1718000.0,1718000.0,1718000.0,0,2026-07-31 15:22:00
20260731,152300,1718000.0,1718000.0,1718000.0,1718000.0,0,2026-07-31 15:23:00
20260731,152400,1718000.0,1718000.0,1718000.0,1718000.0,0,2026-07-31 15:24:00
20260731,152500,1718000.0,1718000.0,1718000.0,1718000.0,0,2026-07-31 15:25:00
20260731,152600,1718000.0,1718000.0,1718000.0,1718000.0,0,2026-07-31 15:26:00
20260731,152700,1718000.0,1718000.0,1718000.0,1718000.0,0,2026-07-31 15:27:00
20260731,152800,1718000.0,1718000.0,1718000.0,1718000.0,0,2026-07-31 15:28:00
20260731,152900,1718000.0,1718000.0,1718000.0,1718000.0,0,2026-07-31 15:29:00
20260731,153000,1718000.0,1718000.0,1718000.0,1718000.0,437298,2026-07-31 15:30:00
