time,open,high,low,close,volume,datetime
095000,14825.0,14845.0,14640.0,14680.0,1080946,2026-07-20 09:50:00
095100,14685.0,14790.0,14665.0,14790.0,428110,2026-07-20 09:51:00
095200,14780.0,14800.0,14580.0,14585.0,718417,2026-07-20 09:52:00
095300,14587.0,14675.0,14540.0,14550.0,639407,2026-07-20 09:53:00
095400,14540.0,14610.0,14500.0,14515.0,970443,2026-07-20 09:54:00
095500,14520.0,14645.0,14475.0,14645.0,850400,2026-07-20 09:55:00
095600,14635.0,14730.0,14390.0,14410.0,1008662,2026-07-20 09:56:00
095700,14400.0,14415.0,14170.0,14290.0,1919580,2026-07-20 09:57:00
095800,14285.0,14285.0,14100.0,14185.0,1387005,2026-07-20 09:58:00
095900,14185.0,14265.0,14125.0,14255.0,1256505,2026-07-20 09:59:00
100000,14255.0,14495.0,14255.0,14445.0,1867223,2026-07-20 10:00:00
100100,14445.0,14450.0,14240.0,14295.0,879015,2026-07-20 10:01:00
100200,14290.0,14330.0,14130.0,14260.0,907815,2026-07-20 10:02:00
100300,14260.0,14435.0,14205.0,14220.0,948424,2026-07-20 10:03:00
100400,14215.0,14350.0,14190.0,14300.0,787279,2026-07-20 10:04:00
100500,14310.0,14495.0,14225.0,14490.0,1149980,2026-07-20 10:05:00
100600,14490.0,14610.0,14465.0,14590.0,1317840,2026-07-20 10:06:00
100700,14595.0,14640.0,14445.0,14510.0,789654,2026-07-20 10:07:00
100800,14515.0,14630.0,14470.0,14510.0,616513,2026-07-20 10:08:00
100900,14520.0,14660.0,14450.0,14565.0,1087421,2026-07-20 10:09:00
101000,14565.0,14735.0,14500.0,14585.0,872278,2026-07-20 10:10:00
101100,14570.0,14625.0,14355.0,14400.0,808323,2026-07-20 10:11:00
101200,14395.0,14485.0,14345.0,14360.0,716864,2026-07-20 10:12:00
101300,14365.0,14365.0,14240.0,14300.0,606694,2026-07-20 10:13:00
101400,14305.0,14355.0,14180.0,14200.0,650509,2026-07-20 10:14:00
101500,14200.0,14315.0,14180.0,14205.0,724221,2026-07-20 10:15:00
101600,14215.0,14310.0,14200.0,14300.0,486389,2026-07-20 10:16:00
101700,14300.0,14380.0,14210.0,14290.0,657270,2026-07-20 10:17:00
101800,14280.0,14380.0,14250.0,14275.0,576974,2026-07-20 10:18:00
101900,14270.0,14335.0,14270.0,14295.0,46674,2026-07-20 10:19:00
