time,open,high,low,close,volume,datetime
121200,10110.0,10215.0,10090.0,10205.0,1771352,2026-07-09 12:12:00
121300,10205.0,10210.0,10090.0,10170.0,1149283,2026-07-09 12:13:00
121400,10170.0,10200.0,9960.0,10000.0,1321930,2026-07-09 12:14:00
121500,9990.0,10050.0,9950.0,9975.0,988591,2026-07-09 12:15:00
121600,9985.0,10145.0,9985.0,10055.0,737616,2026-07-09 12:16:00
121700,10050.0,10130.0,9980.0,10130.0,820732,2026-07-09 12:17:00
121800,10130.0,10190.0,10120.0,10145.0,1095565,2026-07-09 12:18:00
121900,10145.0,10175.0,10065.0,10080.0,1049683,2026-07-09 12:19:00
122000,10075.0,10075.0,9935.0,9995.0,1103111,2026-07-09 12:20:00
122100,9990.0,10070.0,9910.0,9915.0,1123615,2026-07-09 12:21:00
122200,9925.0,9955.0,9775.0,9815.0,1773085,2026-07-09 12:22:00
122300,9805.0,9900.0,9780.0,9790.0,1019352,2026-07-09 12:23:00
122400,9790.0,9840.0,9725.0,9725.0,854238,2026-07-09 12:24:00
122500,9725.0,9775.0,9710.0,9760.0,690236,2026-07-09 12:25:00
122600,9760.0,9820.0,9705.0,9735.0,1014126,2026-07-09 12:26:00
122700,9735.0,9745.0,9635.0,9675.0,1310921,2026-07-09 12:27:00
122800,9670.0,9705.0,9655.0,9665.0,453886,2026-07-09 12:28:00
122900,9665.0,9710.0,9605.0,9610.0,1119625,2026-07-09 12:29:00
123000,9610.0,9615.0,9515.0,9545.0,1733882,2026-07-09 12:30:00
123100,9555.0,9620.0,9545.0,9545.0,887116,2026-07-09 12:31:00
123200,9545.0,9580.0,9460.0,9490.0,845961,2026-07-09 12:32:00
123300,9495.0,9515.0,9420.0,9495.0,947502,2026-07-09 12:33:00
123400,9495.0,9615.0,9490.0,9615.0,909350,2026-07-09 12:34:00
123500,9620.0,9705.0,9595.0,9700.0,2288950,2026-07-09 12:35:00
123600,9700.0,9700.0,9580.0,9605.0,1168581,2026-07-09 12:36:00
123700,9605.0,9650.0,9530.0,9560.0,476727,2026-07-09 12:37:00
123800,9550.0,9650.0,9550.0,9615.0,538460,2026-07-09 12:38:00
123900,9620.0,9695.0,9610.0,9680.0,590255,2026-07-09 12:39:00
124000,9680.0,9805.0,9650.0,9800.0,1261746,2026-07-09 12:40:00
124100,9800.0,9805.0,9690.0,9710.0,708745,2026-07-09 12:41:00
